Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Aruba																											2.868319392	7.234964017	10.02650752	10.6347326	29.62016477	29.84760844	25.25815197	24.43048084	22.99644068	22.18661455	21.64188954	21.50066123	19.62153398	19.65258865	25.5476788	25.38248972	24.9755145	24.90906561	24.51054263	24.964531	24.76670634	25.61371495	24.75013321	24.87670585	24.18270225	23.9224121
Andorra																																				6.374494942	6.616353766	7.145696603	7.576446281	8.001433893	8.018180706	7.73765678	7.484094812	7.159140446	7.208828523	7.088127747	6.553476545	6.350868305	6.296124556	6.049172848	6.12477049	5.96868547
Afghanistan	0.046067875	0.053614943	0.073781338	0.074251368	0.086316543	0.101498607	0.10767397	0.123782381	0.115547383	0.086862817	0.150358548	0.166114846	0.130820142	0.136339954	0.155725123	0.169027082	0.154895026	0.183118308	0.163346971	0.168673488	0.133230271	0.152639744	0.165879122	0.205462699	0.237642948	0.301734199	0.274729698	0.275560305	0.252079156	0.239131208	0.221826764	0.194971232	0.103775745	0.092761103	0.083183538	0.075646465	0.06859185	0.061814349	0.057050868	0.043722588	0.03964437	0.031434756	0.041641211	0.046107612	0.040727366	0.05485483	0.065815968	0.088141054	0.158961558	0.24907353	0.302936388	0.425262105
Angola	0.104357101	0.084718406	0.216025343	0.206877061	0.216174133	0.206088959	0.265164146	0.166658589	0.275655471	0.451125604	0.568588577	0.529744961	0.684120294	0.723055043	0.703873436	0.621198891	0.450116912	0.471248794	0.701359921	0.692097154	0.651061684	0.621382804	0.527930763	0.560374447	0.530351031	0.482400531	0.464973712	0.565431153	0.486503528	0.462907837	0.398075822	0.380694834	0.372921412	0.473691138	0.307601078	0.844305988	0.781484777	0.5348313	0.515117027	0.627072296	0.633625299	0.625351712	0.786223278	0.543083667	1.086604897	1.069417185	1.200877147	1.311096483	1.369424769	1.430873373	1.401654169	1.35400753
Albania	1.258194928	1.374186047	1.439955964	1.181681144	1.11174196	1.166099043	1.333055465	1.3637463	1.519551277	1.558967572	1.753239905	1.989497923	2.515914398	2.303897417	1.849006691	1.910633637	2.013584562	2.275876391	2.53062504	2.898208518	1.93505831	2.693023914	2.624856785	2.683239919	2.694291374	2.658015382	2.665356221	2.414060815	2.331598531	2.783243075	2.278386827	1.215676857	0.73519813	0.726062789	0.601346953	0.654537133	0.636625313	0.49036506	0.560271437	0.960164412	0.978174681	1.053304176	1.229540709	1.412697196	1.376212735	1.412498211	1.291547969	1.507535815	1.580113283	1.533178094	1.515632053	1.60703771
Arab World	0.643963548	0.685500882	0.761148199	0.875124288	0.999248141	1.166075188	1.273617599	1.333305364	1.548403564	1.79544563	1.808270673	2.002951467	2.121494521	2.411528707	2.288503495	2.199429464	2.586910238	2.650224937	2.762455988	2.862687056	3.091551621	2.929411609	2.723330732	2.818112758	2.98526953	3.066959239	3.290717726	3.205226529	3.304338713	3.268320952	3.203907205	3.28409368	3.483917152	3.715328243	3.73503093	3.473291381	3.364402265	3.168027469	3.360498166	3.339700902	3.717402796	3.583432943	3.57992169	3.797799574	4.094268842	4.206788911	4.285594793	4.181153482	4.373573347	4.57525129	4.76491188	4.724499697
United Arab Emirates	0.118785902	0.108936971	0.16335531	0.175712369	0.132650846	0.146369696	0.159358568	5.336736892	6.708216413	99.84043878	64.76288896	76.98887556	72.37388334	80.01204473	69.31589696	58.48397881	63.74279762	53.65693112	54.16332122	39.47756127	36.29532578	33.7176354	31.82772295	29.011557	36.23813266	36.97051612	33.01855443	31.39781737	29.96939719	31.8249004	28.71116029	29.79884329	28.79455913	31.00779092	32.67283286	30.05758168	16.63855671	16.04724031	29.81063074	27.17395364	36.90410107	31.51609903	24.95655145	29.4670889	28.48143699	25.91458723	23.95451916	23.19506697	23.03360047	21.10229562	20.12095728	20.43383762
Argentina	2.367473032	2.442615665	2.522392105	2.316355797	2.53837965	2.641714463	2.792653923	2.858162546	2.969855218	3.275850301	3.451159222	3.650078169	3.637858366	3.730791118	3.726699112	3.641822498	3.768773931	3.749871115	3.762750231	3.998733697	3.86885293	3.574967612	3.567086543	3.572041973	3.560142178	3.310327288	3.377245218	3.669168725	3.820445808	3.629202129	3.440710803	3.525383685	3.608582241	3.477160476	3.569365678	3.501874849	3.648190358	3.758387022	3.79878183	3.969875863	3.806975725	3.539532688	3.253312671	3.47503504	4.032407013	4.111634824	4.404525042	4.496833655	4.744178401	4.427960113	4.342272052	4.562048512
Armenia																																	1.174674163	0.859706565	0.901718662	1.083089242	0.821584566	1.044825239	1.094342744	0.988511937	1.126529454	1.15760795	0.998805808	1.1291735	1.20456698	1.443730955	1.459636908	1.694755259	1.868611029	1.469960972	1.422998378	1.671656923
American Samoa																																																				
